ID_NLS,TIPO,RIC,PR,COMUNE,INDIR_ORIG,ZIP,ISTAT,DENOM_IMPRES,INSEGNA,INIZIO_ATT,ANNO_RICONOSCIMENTO,CAT_MERC,geo_y,geo_x
1766794,Negozio storico,Storica attività,MI,MILANO,VIA MICHELINO DA BESOZZO 10,20155,15146,PALADINI ABBIGLIAMENTO SAS DI PALADINI STEFANO & C,PALADINI,1965,2020,Abbigliamento e accessori,45.4938779,9.150329
2298345,Negozio storico,Storica attività,MI,MILANO,JENNER 0060,20159,15146,RADIO JENNER S.A.S. DI SERGIO PALADINI & C.,COECO,1956,2020,Attrezzature,45.49691,9.1737912
2298859,Locale storico,Storica attività,MI,MILANO,MURATORI LODOVICO 11,20135,15146,BONATTI WALTER,BARBISA,1973,2020,Bar e tabaccheria,45.4520542,9.2051256
2298872,Locale storico,Storica attività,MI,MILANO,CHAVEZ GIORGIO 4,20131,15146,NEW STEP S.R.L.,PIZZERIA VECCHIA NAPOLI,1968,2020,Ristorazione,45.4920828,9.2265851
2319623,Bottega artigiana storica,Bottega storica,MI,MILANO,PADOVA 186,20132,15146,ACCONCIATURE UNISEX S.A.S. DI ANDREA ROSSI & C.,ACCONCIATURE UNISEX ANDREA ROSSI,1965,2020,Cura della persona,45.5012853,9.2370437
2321986,Negozio storico,Storica attività,MI,MILANO,LUIGI MAJNO 0010,20129,15146,EURONUMMUS S.P.A.,EURONUMMUS,1963,2020,Preziosi,45.4694941,9.2060294
2322031,Negozio storico,Storica attività,MI,MILANO,GUGLIELMO SILVA 35,20149,15146,CAVALER MASSIMO,CAVALER GIOIELLI DAL 1961,1961,2020,Preziosi,45.4785112,9.1475864
2323658,Negozio storico,Storica attività,MI,MILANO,BERGAMINI 7,20122,15146,ANACONDA S.R.L.,ANACONDA,1980,2020,Preziosi,45.4618046,9.1941638
2324893,Negozio storico,Storica attività,MI,MILANO,ZARA 119,20159,15146,RAVASI RICCARDO,L'ORAFO RAVASI,1967,2020,Preziosi,45.4983771,9.1956842
2331061,Negozio storico,Storica attività,MI,MILANO,MANZONI ALESSANDRO 29,20121,15146,PEDERZANI DI CLAUDIO PEDERZANI E C. S.A.S.,PEDERZANI,1947,2020,Preziosi,45.4699363,9.192522
2669703,Bottega artigiana storica,Bottega storica,MI,MILANO,VIA FRANCESCO NOVATI 2,20123,15146,CASTIGLIONI STEFANO LUCA,CASTIGLIONI,1972,2021,Casa e arredamento,45.4603347,9.1773152
2677387,Locale storico,Storica attività,MI,MILANO,VIA ROSELLINI IPPOLITO 8,20124,15146,SONCINA CLAUDIO RAFFAELE,BAR NILO,1969,2021,Bar e tabaccheria,45.4890052,9.1942972
2679796,Negozio storico,Negozio storico,MI,MILANO,VIA SETTEMBRINI LUIGI 39,20124,15146,CARTOLERIA BONFIOLI DI COZZI MARIACARLA,CARTOLERIA BONFIOLI,1940,2021,Cartoleria e libreria,45.483902,9.2080674
2681146,Negozio storico,Storica attività,MI,MILANO,VIA MARCIANO 12,20133,15146,CARBOGNIN S.R.L.,CARBOGNIN FIORI,1922,2021,Sport e tempo libero,45.4676192,9.2314162
2682409,Negozio storico,Negozio storico,MI,MILANO,VIALE MONZA 0020,20127,15146,DE AMBROSIS GIANCARLO,CAPPELLERIA L. CABELLA,1924,2021,Abbigliamento e accessori,45.4892149,9.2178095
2784269,Bottega artigiana storica,Storica attività artigiana,MI,MILANO,VIA DELLE FORZE ARMATE 0246,20152,15146,TINTORIA LAURA DI PIZZAMIGLIO SILVANA,TINTORIA LAURA,1961,2021,Abbigliamento e accessori,45.4604381,9.1081326
2944587,Negozio storico,Storica attività,MI,MILANO,VIA VITRUVIO 0008,20124,15146,M. ROSSI SAS DI MARIO ROSSI E C.,MARIO ROSSI TIMBRI E TARGHE,1961,2021,Miscellanea,45.4808693,9.2097326
3142474,Locale storico,Storica attività,MI,MILANO,PIAZZALE DATEO 5,20129,15146,"WINE BAR GIGLIO DI DI FILIPPO GIACOMO, ANDREA & C. S.N.C.",BAR GIGLIO,1967,2021,Bar e tabaccheria,45.4685973,9.2164823
3166121,Bottega artigiana storica,Storica attività artigiana,MI,MILANO,GALLERIA UNIONE 1,20147,15146,IL MAESTRO DEL TEMPO DI BOTTICCHIO ROBERTO,IL MAESTRO DEL TEMPO,1978,2021,Preziosi,45.4614746,9.1875793
3182072,Negozio storico,Storica attività,MI,MILANO,VIA TOMMASO SALVINI 0003,20122,15146,GIORDANO ALFREDO RICCARDO,PANETTERIA PASTICCERIA GIORDANO,1963,2021,Alimentari e specialità alimentari,45.4719056,9.2035787
3182123,Negozio storico,Storica attività,MI,MILANO,VIALE PIAVE 0020,20129,15146,DROGHERIA RADRIZZANI DI EMILIO RADRIZZANI & C. S.N.C.,DROGHERIA RADRIZZANI,1940,2021,Alimentari e specialità alimentari,45.4710877,9.2069064
3182156,Negozio storico,Storica attività,MI,MILANO,VIA PONTE VETERO 4,20121,15146,ROSSI & GRASSI S.R.L.,ROSSI & GRASSI SALUMIERI,1971,2021,Alimentari e specialità alimentari,45.4691963,9.185442
3184556,Negozio storico,Storica attività,MI,MILANO,VIA NIRONE 0005,20123,15146,LA BOTTEGA DISCANTICA DI GRAZIOLI LUIGI,LA BOTTEGA DISCANTICA,1974,2021,Miscellanea,45.465357,9.1781798
3184790,Negozio storico,Storica attività,MI,MILANO,VIA GIUSEPPE MEDA 23,20136,15146,MASCHERPA ELETRODOMESTICI DI MASCHERPA GIANCARLA,COECO MASCHERPA ELETTRODOMESTICI,1968,2021,Attrezzature,45.4432403,9.179113
3194193,Locale storico,Storica attività,MI,MILANO,VIA PALESTRO SNC,20121,15146,BIANCO DI CALLONI BRUNO GIUSEPPE,BAR BIANCO,1960,2021,Bar e tabaccheria,45.4727782,9.1964716
3194372,Negozio storico,Storica attività,MI,MILANO,CORSO ITALIA 0016,20122,15146,CIVELLI DI PIER GIORGIO CIVELLI & C. SAS,CIVELLI 1961,1961,2021,Alimentari e specialità alimentari,45.4578991,9.1874839
3194575,Locale storico,Storica attività,MI,MILANO,VIA GALVANI LUIGI 15,20124,15146,RISCO S.R.L.,IL CERCHIO TRATTORIA TOSCANA,1969,2021,Ristorazione,45.486743,9.1983723
3195358,Negozio storico,Storica attività,MI,MILANO,VIALE MONTE CENERI 78,20155,15146,MALINVERNO STEFANO,IL MACELLAIO DI MALINVERNO,1954,2021,Alimentari e specialità alimentari,45.4904898,9.1517728
3195437,Locale storico,Storica attività,MI,MILANO,VIA DONATELLO 27,20131,15146,KHELLA BOTROS,PASTICCERIA VALENTE,1931,2021,"Gelaterie, pasticcerie e torrefazioni",45.4803765,9.2208683
3195474,Locale storico,Locale storico,MI,MILANO,VIA MERCATO 0014,20121,15146,PALMA CLAUDIO S.R.L.,PIZZERIA SIBILLA,1951,2021,Ristorazione,45.4709245,9.1844302
3197062,Negozio storico,Storica attività,MI,MILANO,PIAZZA SANTA MARIA BELTRADE 2,20123,15146,BOUTIQUE DEL GIOIELLO -S.R.L.,BOUTIQUE DEL GIOIELLO,1981,2021,Preziosi,45.4628722,9.1869033
3203197,Locale storico,Storica attività,MI,MILANO,VIA CELLINI 0003,20129,15146,VIA S.RL.,LA BAIA,1976,2021,Ristorazione,45.4627683,9.2087084
3204624,Negozio storico,Storica attività,MI,MILANO,CORSO MAGENTA 0027,20123,15146,BUSCEMI HI-FI DI BUSCEMI PIETRO & C. SAS,BUSCEMI HI-FI,1969,2021,Attrezzature,45.4659193,9.1770273
3206662,Locale storico,Locale storico,MI,MILANO,VIA DEI GIGLI 14,20147,15146,CASCINA CORBA SOCIETA' A RESPONSABILITA' LIMITATA,RISTORANTE CASCINA CORBA,1969,2021,Ristorazione,45.4525737,9.1330386
3454349,Negozio storico,Negozio storico,MI,MILANO,VIA DELLA MOSCOVA 68,20121,15146,ASNAGHI GIACINTO S.N.C. DI ASNAGHI ALDO ANTONIO E MARIA ASSUNTA,G.TO ASNAGHI TESSUTI,1940,2022,Abbigliamento e accessori,45.4783739,9.182178
3481174,Negozio storico,Storica attività,MI,MILANO,CORSO DI PORTA ROMANA 0006,20122,15146,"INCENDIO - SOCIETA' A RESPONSABILITA' LIMITATA (O IN FORMA ABBREVIATA ""INCENDIO - S.R.L."")",INCENDIO,1982,2022,Abbigliamento e accessori,45.4598638,9.1892754
3500840,Negozio storico,Storica attività,MI,MILANO,PIAZZA WAGNER,20145,15146,FRATELLI PEDOL S.R.L.,PESCHERIA PEDOL,1970,2022,Alimentari e specialità alimentari,45.46798,9.15614
3547040,Negozio storico,Storica attività,MI,MILANO,VIA GIUSEPPE COMPAGNONI 0024,20129,15146,MARAZZI GIOVAN BATTISTA,EDICOLA,1982,2022,Cartoleria e libreria,45.4653535,9.2216238
3551779,Negozio storico,Storica attività,MI,MILANO,CORSO DI PORTA ROMANA 0074,20122,15146,LIVIANI ELVIRA,LIVIANI,1978,2022,Preziosi,45.4567399,9.1945049
3553893,Negozio storico,Storica attività,MI,MILANO,CORSO VERCELLI 37,20144,15146,"GIOIELLERIA ""DELLA FONTE GIOIELLI"" DI DELLA FONTE STEFANO",DELLA FONTE,1969,2022,Preziosi,45.4663731,9.1596687
3554343,Negozio storico,Negozio storico,MI,MILANO,VIA PETRARCA FRANCESCO 7,20123,15146,"E. MARINELLA SRL DI LUIGI, MAURIZIO E ALESSANDRO MARINELLA",STIVALERIA SAVOIA,1870,2022,Abbigliamento e accessori,45.4711655,9.1693941
3557370,Negozio storico,Storica attività,MI,MILANO,VIA DURINI 2,20122,15146,MAGNANI GIOIELLI S.N.C. DI MAGNANI ANNA,GIOIELLI,1929,2022,Preziosi,45.4636685,9.1976463
3567224,Locale storico,Storica attività,MI,MILANO,PIAZZA ERNESTO DE ANGELI 0012,20146,15146,SANDY-BAR S.N.C. DI GIAMBATTISTA ANNACONDIA E C.,SANDY BAR,1981,2022,Bar e tabaccheria,45.4667534,9.1491418
3571152,Bottega artigiana storica,Storica attività artigiana,MI,MILANO,VIA MONTE CERVINO 4,20149,15146,ORNELLA BIJOUX DI EREDI DI ALBANI MARIA VITTORIA,ORNELLA BIJOUX,1944,2022,Preziosi,45.4756582,9.1498175
3577823,Negozio storico,Storica attività,MI,MILANO,VIA FIORI CHIARI 2,20121,15146,ROBERTA E BASTA DI ROBERTA TAGLIAVINI,ROBERTAEBASTA,1969,2022,Casa e arredamento,45.4723115,9.1871961
3582486,Negozio storico,Storica attività,MI,MILANO,VIA OMBONI GIOVANNI 1,20129,15146,CENTRO LUCE S.R.L.,OSRAM CENTRO LUCE,1969,2022,Attrezzature,45.4775913,9.2086773
3591064,Negozio storico,Storica attività,MI,MILANO,VIA ORNATO LUIGI 25,20162,15146,GIOIELLERIA LOCATELLI S.R.L.,LOCATELLI,1961,2022,Preziosi,45.5167914,9.1908524
3591337,Negozio storico,Negozio storico,MI,MILANO,LARGO CLAUDIO TREVES 0002,20121,15146,ARGENTERIA DABBENE S.R.L.,DABBENE,1939,2022,Preziosi,45.4752183,9.1871581
